ServerName,FQDN,Status,Name,StartName,StartMode,
APPLICATION2,APPLICATION2.adcfs.capita.co.uk,Online,AppMetrics,ADCFS\srvbeckadm,Auto,"sc \\APPLICATION2.adcfs.capita.co.uk start ""AppMetrics"""
BUSTEST,BUSTEST.adcfs.capita.co.uk,Online,AppMetrics,ADCFS\srvbeckadm,Auto,"sc \\BUSTEST.adcfs.capita.co.uk start ""AppMetrics"""
BUSTEST,BUSTEST.adcfs.capita.co.uk,Online,PDFCreator,lpcomuser@adcfs.capita.co.uk,Auto,"sc \\BUSTEST.adcfs.capita.co.uk start ""PDFCreator"""
CFS7OAKSCFACDR,,Request Timed Out,NA,NA,NA,
CFS7OAKSRLINEDR,,Request Timed Out,NA,NA,NA,
CFS7OAKUVSCHEDD,CFS7OAKUVSCHEDD.adcfs.capita.co.uk,Online,AuraCommService,adcfs\svcuvsched,Manual,
CFS7OAKUVSCHEDD,CFS7OAKUVSCHEDD.adcfs.capita.co.uk,Online,UVSchedulerService,adcfs\svcuvsched,Manual,
CFSADCFP01,CFSADCFP01.adcfs.capita.co.uk,Online,RFDB,.\Administrator,Manual,
CFSADCFP01,CFSADCFP01.adcfs.capita.co.uk,Online,RFIsoConv,.\tempadmin,Auto,"sc \\CFSADCFP01.adcfs.capita.co.uk start ""RFIsoConv"""
CFSADCFP01,CFSADCFP01.adcfs.capita.co.uk,Online,RFQUEUE,.\Administrator,Auto,"sc \\CFSADCFP01.adcfs.capita.co.uk start ""RFQUEUE"""
CFSADCFP01,CFSADCFP01.adcfs.capita.co.uk,Online,RFRPC,.\Administrator,Auto,"sc \\CFSADCFP01.adcfs.capita.co.uk start ""RFRPC"""
CFSADCFP01,CFSADCFP01.adcfs.capita.co.uk,Online,RFSERVER,.\Administrator,Auto,"sc \\CFSADCFP01.adcfs.capita.co.uk start ""RFSERVER"""
cfsb1db,cfsb1db.adcfs.capita.co.uk,Online,GISME2,adcfs\srvbeckbe,Auto,"sc \\cfsb1db.adcfs.capita.co.uk start ""GISME2"""
cfsb1db,cfsb1db.adcfs.capita.co.uk,Online,SQLSERVERAGENT,ADCFS\svcSQL,Auto,"sc \\cfsb1db.adcfs.capita.co.uk start ""SQLSERVERAGENT"""
CFSB8PRI,CFSB8PRI.adcfs.capita.co.uk,Online,OpenSSHd,ADCFS\srvBeckAdm,Auto,"sc \\CFSB8PRI.adcfs.capita.co.uk start ""OpenSSHd"""
CFSBCK3PRWEB01,CFSBCK3PRWEB01.adcfs.capita.co.uk,Online,OpenSSHd,ADCFS\srvBeckAdm,Auto,"sc \\CFSBCK3PRWEB01.adcfs.capita.co.uk start ""OpenSSHd"""
CFSBCKACCAPP01,CFSBCKACCAPP01.adcfs.capita.co.uk,Online,Scheduler,.\Svc_FinAacc_Schd,Manual,
CFSBCKACCSQL01,CFSBCKACCSQL01.adcfs.capita.co.uk,Online,MSSQLSERVER,ADCFS\svc_acc_SQL,Auto,"sc \\CFSBCKACCSQL01.adcfs.capita.co.uk start ""MSSQLSERVER"""
CFSBCKACCSQL01,CFSBCKACCSQL01.adcfs.capita.co.uk,Online,MSSQLServerOLAPService,ADCFS\svc_acc_SQL,Auto,"sc \\CFSBCKACCSQL01.adcfs.capita.co.uk start ""MSSQLServerOLAPService"""
CFSBCKACCSQL01,CFSBCKACCSQL01.adcfs.capita.co.uk,Online,ReportServer,ADCFS\svc_acc_SQL,Auto,"sc \\CFSBCKACCSQL01.adcfs.capita.co.uk start ""ReportServer"""
CFSBCKACCSQL01,CFSBCKACCSQL01.adcfs.capita.co.uk,Online,SQLSERVERAGENT,ADCFS\svc_acc_SQL,Auto,"sc \\CFSBCKACCSQL01.adcfs.capita.co.uk start ""SQLSERVERAGENT"""
CFSBCKACTAPP01,CFSBCKACTAPP01.adcfs.capita.co.uk,Online,ASCService,Svc_ActEmx_PRD@adcfs.capita.co.uk,Manual,
CFSBCKACTAPP01,CFSBCKACTAPP01.adcfs.capita.co.uk,Online,stunnel,Svc_ActEmx_PRD@adcfs.capita.co.uk,Manual,
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,BackupExecAgentBrowser,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""BackupExecAgentBrowser"""
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,BackupExecDeviceMediaService,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""BackupExecDeviceMediaService"""
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,BackupExecJobEngine,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""BackupExecJobEngine"""
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,BackupExecRPCService,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""BackupExecRPCService"""
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,DLOAdminSvcu,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""DLOAdminSvcu"""
CFSBCKBEX___01,CFSBCKBEX___01.adcfs.capita.co.uk,Online,MSSQL$BKUPEXEC,ADCFS\srvbeckbe,Auto,"sc \\CFSBCKBEX___01.adcfs.capita.co.uk start ""MSSQL$BKUPEXEC"""
CFSBCKBICSQL01,CFSBCKBICSQL01.adcfs.capita.co.uk,Online,MSSQLSERVER,ADCFS\SVC_BIC_PROD,Auto,"sc \\CFSBCKBICSQL01.adcfs.capita.co.uk start ""MSSQLSERVER"""
CFSBCKBICSQL01,CFSBCKBICSQL01.adcfs.capita.co.uk,Online,SQLSERVERAGENT,ADCFS\SVC_BIC_PROD,Auto,"sc \\CFSBCKBICSQL01.adcfs.capita.co.uk start ""SQLSERVERAGENT"""
CFSBCKCAMAPP01,CFSBCKCAMAPP01.adcfs.capita.co.uk,Online,Cambio-Prod,ADCFS\SvcCamProd,Auto,"sc \\CFSBCKCAMAPP01.adcfs.capita.co.uk start ""Cambio-Prod"""
CFSBCKCFGBLD01,CFSBCKCFGBLD01.adcfs.capita.co.uk,Online,TFSBuildServiceHost.2012,ADCFS\SRVCIBS_TFSBUILDCFG,Auto,"sc \\CFSBCKCFGBLD01.adcfs.capita.co.uk start ""TFSBuildServiceHost.2012"""
CFSBCKCFGBLD02,CFSBCKCFGBLD02.adcfs.capita.co.uk,Online,TFSBuildServiceHost.2012,ADCFS\SRVCIBS_TFSBUILDCFG,Auto,"sc \\CFSBCKCFGBLD02.adcfs.capita.co.uk start ""TFSBuildServiceHost.2012"""
CFSBCKCHPAPP01,CFSBCKCHPAPP01.adcfs.capita.co.uk,Online,TranMan1,adcfs\srvpowershell,Auto,"sc \\CFSBCKCHPAPP01.adcfs.capita.co.uk start ""TranMan1"""
CFSBCKCMSAPP03,CFSBCKCMSAPP03.adcfs.capita.co.uk,Online,OTWSMClientService,.\reddotadministrator,Auto,"sc \\CFSBCKCMSAPP03.adcfs.capita.co.uk start ""OTWSMClientService"""
CFSBCKCMSAPP03,CFSBCKCMSAPP03.adcfs.capita.co.uk,Online,OTWSMNavigationService,.\reddotadministrator,Auto,"sc \\CFSBCKCMSAPP03.adcfs.capita.co.uk start ""OTWSMNavigationService"""
CFSBCKCMSAPP03,CFSBCKCMSAPP03.adcfs.capita.co.uk,Online,OTWSMServer32Service,.\reddotadministrator,Auto,"sc \\CFSBCKCMSAPP03.adcfs.capita.co.uk start ""OTWSMServer32Service"""
CFSBCKCMSAPP03,CFSBCKCMSAPP03.adcfs.capita.co.uk,Online,OTWSMServerService,.\reddotadministrator,Auto,"sc \\CFSBCKCMSAPP03.adcfs.capita.co.uk start ""OTWSMServerService"""
CFSBCKCOWAPP01,CFSBCKCOWAPP01.adcfs.capita.co.uk,Online,Coldwater.WcfService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP01.adcfs.capita.co.uk start ""Coldwater.WcfService"""
CFSBCKCOWAPP01,CFSBCKCOWAPP01.adcfs.capita.co.uk,Online,Coldwater.TimerService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP01.adcfs.capita.co.uk start ""Coldwater.TimerService"""
CFSBCKCOWAPP02,CFSBCKCOWAPP02.adcfs.capita.co.uk,Online,Coldwater.TimerService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP02.adcfs.capita.co.uk start ""Coldwater.TimerService"""
CFSBCKCOWAPP02,CFSBCKCOWAPP02.adcfs.capita.co.uk,Online,Coldwater.WcfService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP02.adcfs.capita.co.uk start ""Coldwater.WcfService"""
CFSBCKCOWAPP03,CFSBCKCOWAPP03.adcfs.capita.co.uk,Online,Coldwater.WcfService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP03.adcfs.capita.co.uk start ""Coldwater.WcfService"""
CFSBCKCOWAPP03,CFSBCKCOWAPP03.adcfs.capita.co.uk,Online,Coldwater.TimerService,SVC_CWATER_WCF_LIVE@adcfs.capita.co.uk,Auto,"sc \\CFSBCKCOWAPP03.adcfs.capita.co.uk start ""Coldwater.TimerService"""
CFSBCKCPFSQL01,CFSBCKCPFSQL01.adcfs.capita.co.uk,Online,MsDtsServer100,adcfs\Svc_CPF_PROD,Auto,"sc \\CFSBCKCPFSQL01.adcfs.capita.co.uk start ""MsDtsServer100"""
CFSBCKCPFSQL01,CFSBCKCPFSQL01.adcfs.capita.co.uk,Online,MSSQLSERVER,adcfs\Svc_CPF_PROD,Auto,"sc \\CFSBCKCPFSQL01.adcfs.capita.co.uk start ""MSSQLSERVER"""
CFSBCKCPFSQL01,CFSBCKCPFSQL01.adcfs.capita.co.uk,Online,SQLSERVERAGENT,adcfs\Svc_CPF_PROD,Auto,"sc \\CFSBCKCPFSQL01.adcfs.capita.co.uk start ""SQLSERVERAGENT"""
CFSBCKCTXAPP01,,Online,NA,NA,NA,
CFSBCKCTXAPP02,,Online,NA,NA,NA,
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,Citrix Peer Resolution Service,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""Citrix Peer Resolution Service"""
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixClusterService,NT AUTHORITY\NETWORK SERVICE,Disabled,
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixConfigurationReplication,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""CitrixConfigurationReplication"""
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixCredentialWallet,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""CitrixCredentialWallet"""
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixDefaultDomainService,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""CitrixDefaultDomainService"""
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixServiceMonitor,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""CitrixServiceMonitor"""
CFSBCKCTXWEB01,CFSBCKCTXWEB01.adcfs.capita.co.uk,Online,CitrixSubscriptionsStore,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB01.adcfs.capita.co.uk start ""CitrixSubscriptionsStore"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,Citrix Peer Resolution Service,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""Citrix Peer Resolution Service"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixClusterService,NT AUTHORITY\NETWORK SERVICE,Disabled,
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixConfigurationReplication,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""CitrixConfigurationReplication"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixCredentialWallet,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""CitrixCredentialWallet"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixDefaultDomainService,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""CitrixDefaultDomainService"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixServiceMonitor,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""CitrixServiceMonitor"""
CFSBCKCTXWEB02,CFSBCKCTXWEB02.adcfs.capita.co.uk,Online,CitrixSubscriptionsStore,NT AUTHORITY\NETWORK SERVICE,Auto,"sc \\CFSBCKCTXWEB02.adcfs.capita.co.uk start ""CitrixSubscriptionsStore"""
CFSBCKDIMAPP01,CFSBCKDIMAPP01.adcfs.capita.co.uk,Online,SCD52PRODMUCS,adcfs\scdimension,Auto,"sc \\CFSBCKDIMAPP01.adcfs.capita.co.uk start ""SCD52PRODMUCS"""
CFSBCKDIMAPP01,CFSBCKDIMAPP01.adcfs.capita.co.uk,Online,SCD52PRODODASRV,adcfs\scdimension,Auto,"sc \\CFSBCKDIMAPP01.adcfs.capita.co.uk start ""SCD52PRODODASRV"""
CFSBCKDIMAPP01,CFSBCKDIMAPP01.adcfs.capita.co.uk,Online,sshd,SVC_DBAMAINT@adcfs.capita.co.uk,Auto,"sc \\CFSBCKDIMAPP01.adcfs.capita.co.uk start ""sshd"""
CFSBCKDIMAPP03,CFSBCKDIMAPP03.adcfs.capita.co.uk,Online,BOEXI40SIACFSBCKDIMAPP03,SVC_DIMSPIUSER@adcfs.capita.co.uk,Auto,"sc \\CFSBCKDIMAPP03.adcfs.capita.co.uk start ""BOEXI40SIACFSBCKDIMAPP03"""
CFSBCKDIMBAT01,CFSBCKDIMBAT01.adcfs.capita.co.uk,Online,SCD56PRODBATCH01,adcfs\scdimension,Auto,"sc \\CFSBCKDIMBAT01.adcfs.capita.co.uk start ""SCD56PRODBATCH01"""
CFSBCKDIMBAT01,CFSBCKDIMBAT01.adcfs.capita.co.uk,Online,SCD56TESTBATCH01,adcfs\scdimension,Manual,
CFSBCKDIMCAL01,CFSBCKDIMCAL01.adcfs.capita.co.uk,Online,SCD56PRODcalc01,adcfs\scdimension,Auto,"sc \\CFSBCKDIMCAL01.adcfs.capita.co.uk start ""SCD56PRODcalc01"""
CFSBCKDIMCAL01,CFSBCKDIMCAL01.adcfs.capita.co.uk,Online,SCD56TESTcalc01,adcfs\scdimension,Manual,
CFSBCKDIMCAL02,CFSBCKDIMCAL02.adcfs.capita.co.uk,Online,SCD56PRODcalc02,adcfs\scdimension,Auto,"sc \\CFSBCKDIMCAL02.adcfs.capita.co.uk start ""SCD56PRODcalc02"""
CFSBCKDIMCAL02,CFSBCKDIMCAL02.adcfs.capita.co.uk,Online,SCD56TESTcalc02,adcfs\scdimension,Manual,
CFSBCKDIMCAL03,CFSBCKDIMCAL03.adcfs.capita.co.uk,Online,SCD56PRODCALC03,adcfs\scdimension,Auto,"sc \\CFSBCKDIMCAL03.adcfs.capita.co.uk start ""SCD56PRODCALC03"""
CFSBCKDIMCAL03,CFSBCKDIMCAL03.adcfs.capita.co.uk,Online,SCD56TESTCALC03,adcfs\scdimension,Manual,
CFSBCKDIMCAL04,CFSBCKDIMCAL04.adcfs.capita.co.uk,Online,SCD56PRODCALC04,adcfs\scdimension,Auto,"sc \\CFSBCKDIMCAL04.adcfs.capita.co.uk start ""SCD56PRODCALC04"""
CFSBCKDIMCAL04,CFSBCKDIMCAL04.adcfs.capita.co.uk,Online,SCD56TESTCALC04,adcfs\scdimension,Manual,
CFSBCKFAXAPP01,CFSBCKFAXAPP01.adcfs.capita.co.uk,Online,CapaSync,ADCFS\SRV_BCK_RightFax,Auto,"sc \\CFSBCKFAXAPP01.adcfs.capita.co.uk start ""CapaSync"""
CFSBCKFAXAPP01,CFSBCKFAXAPP01.adcfs.capita.co.uk,Online,RFDB,ADCFS\SRV_BCK_RightFax,Manual,
CFSBCKFAXAPP01,CFSBCKFAXAPP01.adcfs.capita.co.uk,Online,RFDOCTRANS,ADCFS\SRV_BCK_RightFax,Auto,"sc \\CFSBCKFAXAPP01.adcfs.capita.co.uk start ""RFDOCTRANS"""
CFSBCKFAXAPP01,CFSBCKFAXAPP01.adcfs.capita.co.uk,Online,RFEMAIL,ADCFS\SRV_BCK_RightFax,Manual,
CFSBCKFAXAPP01,CFSBCKFAXAPP01.adcfs.capita.co.uk,Online,RFEMAIL1,ADCFS\SRV_BCK_RightFax,Manual,
